,sentiment,sp500_open,sp500_high,sp500_low,sp500_close,sp500_avg_close,sp500_avg_volume,sp500_monthly_return,sp500_intra_volatility,sentiment_z,sp500_close_z,sentiment_pct_change,rolling_corr_12m
1991-10,78.3,387.86,393.81,376.11,392.45,386.8835,177494782.6087,1.1834,4.7061,-0.3984,-0.6999,-5.6627,0.8245
1991-11,69.1,392.46,398.22,371.63,375.22,385.9195,186881000.0,-4.3904,7.155,-1.0572,-0.7112,-11.7497,0.7228
1991-12,68.2,375.11,418.32,371.36,417.09,388.5105,197871904.7619,11.1588,12.6454,-1.1217,-0.6838,-1.3025,0.1683
1992-01,67.5,417.03,421.18,408.64,408.78,416.075,240285454.5455,-1.9924,3.0687,-1.1718,-0.6892,-1.0264,-0.3833
1992-02,68.8,408.79,418.08,406.34,412.7,412.5558,224611052.6316,0.959,2.8892,-1.0787,-0.6867,1.9259,-0.6674
1992-03,76.0,412.68,413.78,401.94,403.69,407.3645,184829090.9091,-2.1832,2.9457,-0.5631,-0.6926,10.4651,-0.6101
1992-04,77.2,403.67,416.28,392.41,414.95,407.4071,205516190.4762,2.7893,6.0829,-0.4772,-0.6852,1.5789,-0.506
1992-05,79.2,414.95,418.75,409.85,415.35,414.8145,182199000.0,0.0964,2.1715,-0.334,-0.6849,2.5907,-0.4137
1992-06,80.4,415.35,417.3,399.92,408.14,408.2745,193628636.3636,-1.7359,4.3459,-0.2481,-0.6896,1.5152,-0.2665
1992-07,76.6,408.2,424.8,407.2,424.21,415.0514,193873636.3636,3.9374,4.3222,-0.5202,-0.6791,-4.7264,-0.1289
1992-08,76.1,424.19,425.14,408.3,414.03,417.9271,173991428.5714,-2.3998,4.1244,-0.556,-0.6858,-0.6527,-0.0485
1992-09,75.6,414.03,425.27,412.71,417.8,418.4771,191611904.7619,0.9106,3.0433,-0.5918,-0.6833,-0.657,0.193
1992-10,73.3,417.8,421.16,396.8,418.68,412.5027,204864090.9091,0.2106,6.1391,-0.7565,-0.6828,-3.0423,0.3141
1992-11,85.3,418.66,431.93,415.58,431.35,422.844,207438500.0,3.0262,3.9343,0.1028,-0.6745,16.3711,0.4106
1992-12,91.0,431.35,442.65,428.61,435.71,435.6395,221643181.8182,1.0108,3.2757,0.511,-0.6716,6.6823,0.7008
1993-01,89.3,435.7,442.66,426.88,438.78,435.229,264042500.0,0.7046,3.6966,0.3892,-0.6696,-1.8681,0.7609
1993-02,86.6,438.78,450.04,428.25,443.38,441.7037,286444736.8421,1.0484,5.0882,0.1959,-0.6666,-3.0235,0.7939
1993-03,85.9,443.38,456.76,441.07,451.67,450.1552,250736956.5217,1.8697,3.5573,0.1458,-0.6612,-0.8083,0.7646
1993-04,85.6,451.67,452.63,432.3,440.19,443.0776,278722380.9524,-2.5417,4.7028,0.1243,-0.6687,-0.3492,0.7608
1993-05,80.3,440.19,454.55,436.86,450.19,445.2465,255432000.0,2.2717,4.0494,-0.2552,-0.6622,-6.1916,0.6451
1993-06,81.5,450.23,455.63,442.5,450.53,448.0595,252018181.8182,0.0755,2.9672,-0.1693,-0.662,1.4944,0.6291
1993-07,77.0,450.54,451.15,441.4,448.13,447.2862,252787142.8571,-0.5327,2.2089,-0.4915,-0.6635,-5.5215,0.4784
1993-08,77.3,448.13,463.56,446.94,463.56,454.1277,250281818.1818,3.4432,3.7186,-0.47,-0.6534,0.3896,0.159
1993-09,77.9,463.55,463.8,449.64,458.93,459.2352,264415238.0952,-0.9988,3.1492,-0.4271,-0.6565,0.7762,-0.1476
1993-10,82.7,458.93,471.1,456.4,467.83,463.9,282879047.619,1.9393,3.2209,-0.0834,-0.6507,6.1617,-0.6683
1993-11,81.2,467.83,469.11,454.36,461.79,462.8905,279838571.4286,-1.2911,3.2463,-0.1908,-0.6546,-1.8138,-0.6928
1993-12,88.2,461.93,471.29,461.45,466.45,465.9455,263236818.1818,1.0091,2.1324,0.3105,-0.6516,8.6207,-0.3376
1994-01,94.3,466.51,482.85,464.36,481.61,472.9929,315590000.0,3.2501,3.9818,0.7473,-0.6417,6.9161,0.3605
1994-02,93.2,481.6,482.23,464.26,467.14,471.58,308057894.7368,-3.0045,3.8707,0.6685,-0.6511,-1.1665,0.516
1994-03,91.5,467.19,471.09,436.16,445.77,463.8078,314130869.5652,-4.5747,8.0085,0.5468,-0.6651,-1.824,0.3602
1994-04,92.6,445.66,452.79,435.86,450.91,447.2321,301842631.5789,1.1531,3.8843,0.6255,-0.6617,1.2022,0.3155
